1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,1
7,7,2
8,8,3
9,9,4
10,10,5
11,11,1
12,12,2
13,13,3
14,14,4
15,15,5
16,16,1
17,17,2
18,18,3
19,19,4
20,20,5
21,21,1
22,22,2
23,23,3
24,24,4
25,25,5
26,26,1
27,27,2
28,28,3
29,29,4
30,30,5
31,31,1
32,32,2
33,33,3
34,34,4
35,35,5
36,36,1
37,37,2
38,38,3
39,39,4
40,40,5
41,41,1
42,42,2
43,43,3
44,44,4
45,45,5
46,46,1
47,47,2
48,48,3
49,49,4
50,50,5
51,51,1
52,52,2
53,53,3
54,54,4
55,55,5
56,56,1
57,57,2
58,58,3
59,59,4
60,60,5
61,61,1
62,62,2
63,63,3
64,64,4
65,65,5
66,66,1
67,67,2
68,68,3
69,69,4
70,70,5
71,71,1
72,71,2
73,71,3
74,67,3
75,68,4
