employeeID,firstName,lastName,birthDate,teamID,employeeType
1,Nate ,McMillan,8/3/64,1,2
2,Ime ,Udoka,8/9/77,2,2
3,Steve ,Nash,2/7/74,3,2
4,Billy ,Donovan,5/30/65,4,2
5,James ,Borrego,11/12/77,5,2
6,J.B. ,Bickerstaff,3/10/79,6,2
7,Jason ,Kidd,3/23/73,7,2
8,Michael ,Malone,1/1/71,8,2
9,Dwane ,Casey,4/17/57,9,2
10,Steve ,Kerr,9/27/65,10,2
11,Stephen ,Silas,1/1/73,11,2
12,Rick ,Carlisle,10/27/59,12,2
13,Tyronn ,Lue,5/3/77,30,2
14,Frank ,Vogel,6/21/73,13,2
15,Taylor ,Jenkins,9/12/84,14,2
16,Erik ,Spoelstra,11/1/70,15,2
17,Mike ,Budenholzer,8/6/69,16,2
18,Chris ,Finch,11/6/69,17,2
19,Willie ,Green,7/28/81,18,2
20,Tom ,Thibodeau,1/17/58,19,2
21,Mark ,Daigneault,8/12/85,20,2
22,Jamahl ,Mosley,10/6/78,21,2
23,Doc ,Rivers,10/13/61,22,2
24,Monty ,Williams,10/8/71,23,2
25,Chauncey ,Billups,9/25/76,24,2
26,Luke ,Walton,3/28/80,25,2
27,Gregg ,Popovich,1/28/49,26,2
28,Nick ,Nurse,7/24/67,27,2
29,Quin ,Snyder,10/30/66,28,2
30,Wes ,Unseld Jr.,9/20/75,29,2
31,Precious ,Achiuwa,9/19/99,27,1
32,Steven ,Adams,7/20/93,14,1
33,Bam ,Adebayo,7/19/97,15,1
34,LaMarcus ,Aldridge,7/22/85,3,1
35,Nickeil ,Alexander-Walker,9/1/98,18,1
36,Grayson ,Allen,10/8/95,16,1
37,Jarrett ,Allen,4/22/98,6,1
38,Kyle ,Anderson,9/20/93,14,1
39,Giannis ,Antetokounmpo,12/6/94,16,1
40,Thanasis ,Antetokounmpo,7/20/92,16,1
41,Carmelo ,Anthony,6/1/84,13,1
42,Cole ,Anthony,5/17/00,21,1
43,OG ,Anunoby,7/19/97,27,1
44,D.J. ,Augustin,11/12/87,11,1
45,Deni ,Avdija,1/2/01,29,1
46,Deandre ,Ayton,7/23/98,23,1
47,Marvin ,Bagley III,3/13/99,25,1
48,LaMelo ,Ball,8/20/01,4,1
49,Lonzo ,Ball,10/26/97,5,1
50,Mo ,Bamba,5/11/98,21,1
51,Desmond ,Bane,6/27/98,14,1
