1,83.07,194,47,1
2,96.34,297,95,2
3,91.62,243,18,3
4,72.33,305,78,4
5,68.69,274,36,5
6,69.65,342,97,10
7,88.53,180,62,11
8,74.81,228,43,15
9,60.88,312,97,17
10,78.79,301,28,18
11,87.23,335,54,21
12,61.76,244,68,22
13,83.61,336,61,27
14,68.12,322,49,29
15,92.92,247,42,37
16,89.62,237,36,39
17,95.99,246,51,40
18,89.86,222,17,41
19,90.96,272,91,46
20,66.36,248,25,48
21,98.54,304,5,53
22,73.19,159,6,55
23,82.02,333,69,56
24,92.95,337,50,57
25,95.91,174,36,58
26,62.71,208,41,59
27,73.14,154,10,60
28,76.95,328,60,63
29,89.79,213,9,64
30,75.72,194,34,66
31,99.14,259,42,68
32,68.1,231,47,69
33,81.62,164,16,70
34,95.21,296,3,71
35,76.98,244,23,73
36,82.16,163,16,74
37,82.62,303,8,77
38,68.81,220,7,79
39,88.87,313,4,82
40,95.77,276,80,86
41,96.44,304,1,89
42,77.87,168,61,92
43,98.99,332,28,94
44,62.81,223,76,96
45,76.61,345,22,103
46,77.63,269,7,105
47,78.37,209,86,107
48,79.1,229,1,109
49,90.07,261,8,110
50,62.71,335,36,112
51,63.06,229,93,113
52,80.08,231,41,115
53,75.62,151,80,116
54,69.24,298,81,117
55,62.41,187,24,119
56,72.11,274,20,122
57,86.42,174,14,128
58,85.62,199,69,129
59,71.05,269,14,130
60,69.53,244,48,132
61,96.06,325,30,135
62,87.5,301,64,137
63,74.03,272,46,138
64,76.94,328,42,139
65,97.49,310,37,140
66,74.64,223,61,141
67,64.18,270,67,142
68,97.39,308,78,143
69,87.62,344,34,146
70,84.67,224,8,147
71,99.85,282,2,150
